City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,arraial do cabo,-22.9661,-42.0278,22.28,72,100,3.87,BR,1730084707
1,port-aux-francais,-49.35,70.2167,2.8,75,98,14.16,TF,1730084986
2,pisco,-13.7,-76.2167,17.23,88,20,4.12,PE,1730084987
3,petropavlovsk-kamchatsky,53.0452,158.6483,3.33,45,75,3.0,RU,1730084988
4,lebu,-37.6167,-73.65,9.55,94,1,7.27,CL,1730084855
5,kodiak,57.79,-152.4072,2.73,75,0,1.54,US,1730084990
6,salym,60.0625,71.4789,-0.05,88,98,1.84,RU,1730084992
7,puerto natales,-51.7236,-72.4875,7.05,90,100,8.35,CL,1730084993
8,afaahiti,-17.75,-149.2833,23.45,74,89,5.96,PF,1730084994
9,hawaiian paradise park,19.5933,-154.9731,23.26,97,75,2.06,US,1730084995
10,bucerias,20.75,-105.3333,25.99,69,0,1.54,MX,1730084996
11,waitangi,-43.9535,-176.5597,9.9,98,67,10.28,NZ,1730084997
12,tiksi,71.6872,128.8694,-14.78,94,100,2.21,RU,1730084999
13,tchintabaraden,15.8969,5.7985,25.32,19,2,4.14,NE,1730085000
14,papatowai,-46.5619,169.4708,8.84,85,95,4.97,NZ,1730085001
15,bilibino,68.0546,166.4372,-10.04,91,100,1.81,RU,1730085002
16,albany,42.6001,-73.9662,7.11,70,24,0.89,US,1730084408
17,cide,41.8921,33.0044,12.97,57,0,2.08,TR,1730085004
18,constantia,44.1833,28.65,7.61,81,37,4.5,RO,1730084918
19,isafjordur,66.0755,-23.124,-1.59,66,98,4.55,IS,1730085006
20,villa gesell,-37.2639,-56.973,15.48,75,97,7.21,AR,1730084770
21,susuman,62.7833,148.1667,-14.14,86,100,1.33,RU,1730085009
22,whitehorse,60.7161,-135.0538,-6.1,98,46,1.09,CA,1730085010
23,adamstown,-25.066,-130.1015,21.7,80,55,4.15,PN,1730085011
24,lodwar,3.1191,35.5973,29.23,47,85,6.68,KE,1730084804
25,port lincoln,-34.7333,135.8667,17.26,61,11,5.02,AU,1730085013
26,olonkinbyen,70.9221,-8.7187,-5.01,81,100,19.08,SJ,1730085014
27,blackmans bay,-43.0167,147.3167,16.52,46,69,2.68,AU,1730085015
